ServiceName                                              ServiceShortName          ARNFormat
AWS Elastic Disaster Recovery                            drs                       arn:aws:drs:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Elastic Load Balancing                               elasticloadbalancing      arn:aws:elasticloadbalancing:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS Elastic Load Balancing V2                            elasticloadbalancing      arn:aws:elasticloadbalancing:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS Elemental Appliances and Software                    elemental-appliances-software arn:aws:elemental-appliances-software::${Account}:${ResourceType}/${ResourceId}
AWS Elemental Appliances and Software Activation Service elemental-activations     arn:${Partition}:elemental-activations::${Account}:${ResourceType}/${ResourceId}
AWS Elemental MediaConnect                               mediaconnect              arn:aws:mediaconnect:${Region}:${Account}:${Namespace}:${RelativeId}:${RelativeName}
AWS Elemental MediaConvert                               mediaconvert              arn:aws:mediaconvert:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS Elemental MediaLive                                  medialive                 arn:aws:medialive:${Region}:${Account}:${ResourceType}:${ResourceId}
AWS Elemental MediaPackage                               mediapackage              arn:aws:mediapackage:${Region}:${Account}:${ResourceType}/${ResourceIdentifier}
AWS Elemental MediaPackage V2                            mediapackagev2            arn:aws:mediapackagev2:${Region}:${Account}:${ResourceType}/${ResourceIdentifier}
AWS Elemental MediaPackage VOD                           mediapackage-vod          arn:aws:mediapackage-vod:${Region}:${Account}:${ResourceType}/${ResourceIdentifier}
AWS Elemental MediaStore                                 mediastore                arn:aws:mediastore:${Region}:${Account}:${Resource}
AWS Elemental MediaTailor                                mediatailor               arn:aws:mediatailor:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Elemental Support Cases                              elemental-support-cases   arn:aws:elemental-support-cases::${Account}:${ResourceType}/${ResourceId}
AWS Elemental Support Content                            elemental-support-content arn:${Partition}:elemental-support-content:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Entity Resolution                                    entityresolution          arn:aws:entityresolution:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Fault Injection Service                              fis                       arn:aws:fis:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Firewall Manager                                     fms                       arn:aws:fms:${Region}:${Account}:${Resource}/${Id}
AWS Free Tier                                            freetier                  
AWS Global Accelerator                                   globalaccelerator         arn:aws:globalaccelerator::${Account}:${ResourceType}/${ResourceId}
AWS Glue                                                 glue                      arn:aws:glue:${Region}:${Account}:${ResourceType}/${ResourcePath}
AWS Glue DataBrew                                        databrew                  arn:aws:databrew:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS Ground Station                                       groundstation             arn:aws:groundstation:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS Health APIs and Notifications                        health                    arn:aws:health:${Region}::${RelativeId}
AWS HealthImaging                                        medical-imaging           arn:aws:medical-imaging:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS HealthLake                                           healthlake                arn:aws:healthlake:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS HealthOmics                                          omics                     arn:aws:omics:${Region}:${Account}:${ResourceType}/${ResourcePath}
AWS IAM Access Analyzer                                  access-analyzer           arn:aws:access-analyzer:${Region}:${Account}:analyzer/${AnalyzerName}
AWS IAM Identity Center (successor to AWS Single Sign-On) sso                       arn:aws:sso:::${RelativeId}
AWS IAM Identity Center (successor to AWS Single Sign-On) directory sso-directory             arn:${Partition}:sso-directory:${Region}:${Account}:${RelativeId}
AWS IAM Identity Center OIDC service                     sso-oauth                 arn:aws:sso:::${RelativeId}
AWS Identity and Access Management (IAM)                 iam                       arn:aws:iam::${Account}:${ResourceType}/${ResourceName}
AWS Identity and Access Management Roles Anywhere        rolesanywhere             arn:aws:rolesanywhere:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS Identity Store                                       identitystore             arn:aws:identitystore::${Account}:${ResourceType}/${ResourceId}
AWS Identity Store Auth                                  identitystore-auth        arn:${Partition}:identitystore-auth:${Region}:${Account}:${RelativeId}
AWS Identity Sync                                        identity-sync             arn:aws:identity-sync:${Region}:${Account}:${ResourceType}/${ResourcePath}
AWS Import Export Disk Service                           importexport              
AWS Invoicing Service                                    invoicing                 
AWS IoT                                                  iot                       arn:aws:iot:${Region}:${Account}:${Type}/${Name}
AWS IoT 1-Click                                          iot1click                 arn:aws:iot1click:${Region}:${Account}:${Type}/${Name}
AWS IoT Analytics                                        iotanalytics              arn:aws:iotanalytics:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS IoT Core Device Advisor                              iotdeviceadvisor          arn:aws:iotdeviceadvisor:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS IoT Device Tester                                    iot-device-tester         arn:${Partition}:iot-device-tester:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS IoT Events                                           iotevents                 arn:aws:iotevents:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS IoT Fleet Hub for Device Management                  iotfleethub               arn:aws:iotfleethub:${Region}:${AccountId}:${ResourceType}/${ResourceName}
AWS IoT FleetWise                                        iotfleetwise              arn:aws:iotfleetwise:${Region}:${Account}:${Type}/${Name}
AWS IoT Greengrass                                       greengrass                arn:aws:greengrass:${Region}:${Account}:/greengrass/${ResourceType}/${ResourcePath}
AWS IoT Greengrass V2                                    greengrass                arn:aws:greengrass:${Region}:${Account}:${ResourceType}:${ResourcePath}
AWS IoT Jobs DataPlane                                   iotjobsdata               arn:aws:iot:${Region}:${Account}:${Type}/${Name}
AWS IoT RoboRunner                                       iotroborunner             arn:aws:iotroborunner:${Region}:${Account}:${ResourceType}/${ResourcePath}
AWS IoT SiteWise                                         iotsitewise               arn:aws:iotsitewise:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS IoT TwinMaker                                        iottwinmaker              arn:aws:iottwinmaker:${Region}:${Account}:${ResourceType}/${ResourceTypeId}
AWS IoT Wireless                                         iotwireless               arn:aws:iotwireless:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS IQ                                                   iq                        arn:aws:iq:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS IQ Permissions                                       iq-permission             arn:aws:iq-permission:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Key Management Service                               kms                       arn:aws:kms:${Region}:${Account}:${ResourceType}/${Id}
AWS Lake Formation                                       lakeformation             arn:${Partition}:lakeformation:${Region}:${Account}:${ResourceType}/${ResourcePath}
AWS Lambda                                               lambda                    arn:aws:lambda:${Region}:${Account}:${ResourceType}:${ResourceId}
AWS Launch Wizard                                        launchwizard              arn:aws:launchwizard:${Region}:${Account}:${ResourceType}/${ResourcePath}
AWS License Manager                                      license-manager           arn:aws:license-manager:${Region}:${Account}:${ResourceType}:${ResourceId}
AWS License Manager Linux Subscriptions Manager          license-manager-linux-subscriptions arn:aws:license-manager-linux-subscriptions:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS License Manager User Subscriptions                   license-manager-user-subscriptions 
AWS Mainframe Modernization Application Testing provides tools and resources for automated functional equivalence testing for your migration projects. apptest                   arn:aws:apptest:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS Mainframe Modernization Service                      m2                        arn:aws:m2:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS Marketplace                                          aws-marketplace           
AWS Marketplace Catalog                                  aws-marketplace           arn:aws:aws-marketplace:${Region}:${Account}:${Catalog}/${ResourceType}/${ResourceId}
AWS Marketplace Commerce Analytics Service               marketplacecommerceanalytics 
AWS Marketplace Deployment Service                       aws-marketplace           arn:aws:aws-marketplace:${Region}:${Account}:${ResourceType}:catalogs/${CatalogName}/products/${ProductId}/${ResourceId}
AWS Marketplace Discovery                                aws-marketplace           
AWS Marketplace Entitlement Service                      aws-marketplace           
AWS Marketplace Image Building Service                   aws-marketplace           
AWS Marketplace Management Portal                        aws-marketplace-management arn:${Partition}:Marketplace:${Region}:${Account}:${Resource}
AWS Marketplace Metering Service                         aws-marketplace           
AWS Marketplace Private Marketplace                      aws-marketplace           
AWS Marketplace Procurement Systems Integration          aws-marketplace           
AWS Marketplace Seller Reporting                         aws-marketplace           arn:aws:aws-marketplace::${Account}:${Catalog}/${ResourceType}/${ResourcePath}
AWS Marketplace Vendor Insights                          vendor-insights           arn:aws:vendor-insights:::${ResourceType}:${ResourceId}
AWS Microservice Extractor for .NET                      serviceextract            arn:${Partition}:serviceextract:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Migration Acceleration Program Credits               mapcredits                arn:aws:mapcredits:::${ResourceType}/${ResourceId}
AWS Migration Hub                                        mgh                       arn:aws:mgh:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Migration Hub Orchestrator                           migrationhub-orchestrator arn:aws:migrationhub-orchestrator:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Migration Hub Refactor Spaces                        refactor-spaces           arn:aws:refactor-spaces:${Region}:${Account}:${ResourceType}/${RelativeId}
AWS Migration Hub Strategy Recommendations               migrationhub-strategy     arn:${Partition}:iam:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Network Firewall                                     network-firewall          arn:aws:network-firewall:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Network Manager                                      networkmanager            arn:aws:networkmanager::${Account}:${ResourceType}/${ResourceName}
AWS Network Manager Chat                                 networkmanager-chat       arn:${Partition}:networkmanager-chat:${Region}:${Account}:${RelativeId}
AWS OpsWorks                                             opsworks                  arn:aws:${ServiceName}:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS OpsWorks Configuration Management                    opsworks-cm               arn:aws:opsworks-cm:<region>:<account>:<resourceType>/<id>
AWS Organizations                                        organizations             arn:aws:organizations::${Account}:${Resource}/o-${OrganizationId}(/${ResourceType}/${ResourceId})?
AWS Outposts                                             outposts                  arn:aws:outposts:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Panorama                                             panorama                  arn:aws:panorama:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Partner central account management                   partnercentral-account-management 
AWS Payment Cryptography                                 payment-cryptography      arn:aws:payment-cryptography:${Region}:${Account}:${ResourceType}/${Id}
AWS Payments                                             payments                  arn:aws:payments::${Account}:${ResourceType}:${ResourceId}
AWS Performance Insights                                 pi                        arn:aws:pi:${Region}:${Account}:${ResourceType}/${RelativeId}
AWS Price List                                           pricing                   
AWS Private CA Connector for Active Directory            pca-connector-ad          arn:aws:pca-connector-ad:${Region}:${Account}:${ResourceType}
AWS Private CA Connector for SCEP                        pca-connector-scep        arn:aws:pca-connector-scep:${Region}:${Account}:${ResourceType}
AWS Private Certificate Authority                        acm-pca                   arn:aws:acm-pca:${Region}:${Account}:${ARNType}/${ResourceId}
AWS Proton                                               proton                    arn:aws:proton:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Purchase Orders Console                              purchase-orders           arn:aws:purchase-orders::${Account}:${ResourceType}/${ResourceName}
AWS re:Post Private                                      repostspace               arn:aws:repostspace:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Recycle Bin                                          rbin                      arn:aws:rbin:${Region}:${Account}:rule/${ResourceName}
AWS Resilience Hub                                       resiliencehub             arn:aws:resiliencehub:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS Resource Access Manager (RAM)                        ram                       arn:aws:ram:${Region}:${Account}:resource-share/${ResourceUUID}
AWS Resource Explorer                                    resource-explorer-2       arn:aws:resource-explorer-2:${Region}:${Account}:${ResourceType}/${ResourceIdentifier}
AWS Resource Groups                                      resource-groups           arn:aws:resource-groups:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS RoboMaker                                            robomaker                 arn:aws:robomaker:${Region}:${AccountId}:${ResourceType}/${ResourceName}
AWS Savings Plans                                        savingsplans              arn:aws:savingsplans::${Account}:${ResourceType}/${ResourcePath}
AWS Secrets Manager                                      secretsmanager            arn:aws:secretsmanager:${Region}:${Account}:secret:${SecretId}
AWS Security Hub                                         securityhub               arn:aws:securityhub:${Region}:${Account}:.+
AWS Security Token Service                               sts                       arn:aws:iam::${Account}:${RelativeId}
AWS Server Migration Service                             sms                       arn:aws:<serviceName>:<region>:<account-id>:<resource-type>/<resource_name>
AWS Serverless Application Repository                    serverlessrepo            arn:aws:serverlessrepo:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS Service Catalog                                      servicecatalog            arn:aws:(catalog|servicecatalog):${Region}:${Account}:${ResourceType}/${Id}
AWS service providing managed private networks           private-networks          arn:aws:private-networks:${Region}:${Account}:${RelativeId}
AWS Shield                                               shield                    arn:aws:shield:${Region}:${Account}:${Resource}/${ResourceId}
AWS Signer                                               signer                    arn:aws:signer:${Region}:${Account}:/${ResourceType}/${ResourceIdentifier}
AWS Signin                                               signin                    
AWS SimSpace Weaver                                      simspaceweaver            arn:aws:simspaceweaver:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS Snow Device Management                               snow-device-management    arn:aws:snow-device-management:<region>:<account-id>:<resource-type>/<resource_name>
AWS Snowball                                             snowball                  
AWS SQL Workbench                                        sqlworkbench              arn:aws:sqlworkbench:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Step Functions                                       states                    arn:aws:states:${Region}:${Account}:${ResourceType}:${ResourceName}
AWS Storage Gateway                                      storagegateway            arn:aws:storagegateway:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Supply Chain                                         scn                       arn:aws:scn:${Region}:${Account}:instance/
AWS Support                                              support                   
AWS Support App in Slack                                 supportapp                
AWS Support Plans                                        supportplans              ^arn:${Partition}:supportplans::${Account}:${ResourceType}/${ResourcePath}
AWS Support Recommendations                              supportrecommendations    
AWS Sustainability                                       sustainability            arn:${Partition}:sustainability:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Systems Manager                                      ssm                       arn:aws:ssm:${Region}:${Account}:${RelativeId}
AWS Systems Manager for SAP                              ssm-sap                   arn:aws:ssm-sap:${Region}:${Account}:${ApplicationType}/${ApplicationId}
AWS Systems Manager GUI Connect                          ssm-guiconnect            
AWS Systems Manager Incident Manager                     ssm-incidents             arn:aws:ssm-incidents::${Account}:${ResourceType}/${ResourceId}
AWS Systems Manager Incident Manager Contacts            ssm-contacts              arn:aws:ssm-contacts:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS Systems Manager Quick Setup                          ssm-quicksetup            arn:aws:ssm-quicksetup:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS Tax Settings                                         tax                       
AWS Telco Network Builder                                tnb                       arn:aws:tnb:${Region}:${Account}:${RelativeId}
AWS Tiros                                                tiros                     arn:${Partition}:tiros:${Region}:${Account}:${RelativeId}
AWS Transfer Family                                      transfer                  arn:aws:transfer:${Region}:${Account}:${ResourceType}/${ResourceName}
AWS Trusted Advisor                                      trustedadvisor            arn:aws:trustedadvisor:${Region}:${Account}:checks/${Category}/${CheckId}
AWS User Notifications                                   notifications             arn:aws:notifications::${Account}:${ResourceType}/${ResourceId}
AWS User Notifications Contacts                          notifications-contacts    arn:aws:notifications-contacts::${Account}:${ResourceType}/${ResourceId}
AWS User Subscriptions                                   user-subscriptions        
AWS Verified Access                                      verified-access           
AWS WAF                                                  waf                       arn:aws:waf::${Account}:${ResourceId}/${Id}
AWS WAF Regional                                         waf-regional              arn:aws:waf-regional:${Region}:${Account}:${ResourceId}/${Id}
AWS WAF V2                                               wafv2                     arn:aws:wafv2:${Region}:${Account}:${Scope}/${ResourceType}/${ResourceName}/${ResourceId}
AWS Well-Architected Tool                                wellarchitected           arn:aws:wellarchitected:${Region}:${Account}:${ResourceName}/${ResourceId}
AWS Wickr                                                wickr                     arn:aws:wickr:${Region}:${Account}:${ResourceType}/${ResourceId}
AWS X-Ray                                                xray                      arn:aws:xray:${Region}:${Account}:${ResourceType}/${ResourceId}
Database Query Metadata Service                          dbqms                     arn:${Partition}:dbqms::
High-volume outbound communications                      connect-campaigns         arn:aws:connect-campaigns:${Region}:${Account}:campaign/${CampaignId}
Service Quotas                                           servicequotas             arn:aws:servicequotas:${Region}:${Account}:${ResourceType}/${ResourceName}
Tag Editor                                               resource-explorer         arn:${Partition}:resource-explorer:${Region}:${Account}:${ResourceType}/${ResourceName}
